Phi1	Phi	Phi2	X	Y
0.51565	2.58486	4.69109	192	10
2.67859	2.10519	5.87474	0	12
2.67697	2.10725	5.87203	2	12
4.03001	1.45475	3.1716	4	12
0.8944	1.68444	1.53928	6	12
0.89064	1.69188	1.5389	8	12
0.89407	1.69384	1.54212	10	12
0.8984	1.6917	1.54981	12	12
0.90583	1.70091	1.54968	14	12
5.61169	1.55475	3.00797	16	12
0.51499	0.79767	1.279	18	12
0.50125	0.80592	1.2812	20	12
0.49751	0.80386	1.27654	22	12
0.49752	0.8088	1.28544	24	12
0.51076	0.81662	1.28732	26	12
0.50416	0.82039	1.2813	28	12
0.50175	0.82267	1.278	30	12
2.54684	1.9927	1.93152	32	12
5.68983	1.14824	1.20933	34	12
5.69078	1.14696	1.21275	36	12
5.6955	1.14562	1.21208	38	12
5.69699	1.14714	1.2134	40	12
5.69826	1.14638	1.21668	42	12
2.83938	1.22312	2.35282	44	12
1.60042	2.28752	2.04096	46	12
1.60667	2.28615	2.04423	48	12
1.60748	2.28852	2.04615	50	12
1.60991	2.28814	2.04569	52	12
1.6083	2.28448	2.04606	54	12
1.60925	2.28503	2.04229	56	12
5.99547	1.91894	3.9407	58	12
1.60617	2.28482	2.04336	60	12
1.614	2.28699	2.0457	62	12
1.61282	2.28374	2.04987	64	12
1.60638	2.28586	2.04069	66	12
1.60297	2.2895	2.03432	68	12
1.60688	2.29092	2.03923	70	12
1.60213	2.28918	2.03294	72	12
1.60543	2.28917	2.04329	74	12
1.60026	2.29207	2.03352	76	12
1.60337	2.2914	2.03463	78	12
1.32589	2.94003	5.73336	80	12
1.28307	2.94249	5.69441	82	12
1.24766	2.93641	5.66709	84	12
0.29386	1.45583	1.73342	86	12
0.29571	1.46075	1.73028	88	12
4.82745	0.59154	1.36569	90	12
2.92058	1.29007	2.8445	92	12
2.91818	1.28861	2.83537	94	12
2.92829	1.29485	2.83546	96	12
2.92696	1.29267	2.84088	98	12
2.92823	1.28579	2.83544	100	12
2.93301	1.29261	2.83948	102	12
2.92921	1.29341	2.83698	104	12
4.29234	2.60263	0.13709	106	12
4.30025	2.60398	0.14476	108	12
4.13407	1.03821	4.80179	110	12
